Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
65,452,0,0,0,0,0,0,2231
89,530,0,0,1,1,0,0,2238
100,512,0,0,0,0,0,0,2257
87,442,0,0,0,1,0,0,2132
93,483,0,1,1,1,0,0,13
74,424,0,0,1,0,0,0,2216
70,405,0,0,1,1,0,0,2220
72,420,0,0,1,1,0,1,31
54,559,0,1,1,1,0,1,2053
99,530,0,0,1,1,0,0,2128
77,460,0,0,1,1,0,0,2139
92,483,0,0,0,1,0,1,2123
50,454,0,0,1,1,1,1,2147
67,467,0,0,1,1,0,0,2258
75,459,0,0,1,0,0,0,2201
83,474,0,0,1,1,0,1,2107
71,380,0,0,1,0,0,1,2226
71,394,0,0,1,1,0,1,2306
3,15,0,0,1,0,0,1,2345
81,458,0,0,1,1,0,1,2117
85,434,0,0,1,1,0,1,2213
93,506,0,0,0,0,0,0,2119
84,447,0,0,1,1,0,0,2245
86,481,0,0,0,1,0,1,2203
81,467,0,0,1,0,0,0,2203
70,460,0,0,1,0,0,1,2214
89,445,0,0,1,1,1,1,2254
67,507,0,0,1,0,0,0,2152
80,464,0,0,1,1,0,1,2146
81,460,0,0,0,1,0,1,2230
84,440,0,1,1,1,0,0,2220
76,449,0,0,1,1,0,1,2200
83,449,0,0,1,1,0,1,2258
79,446,0,0,1,0,0,1,2254
68,421,0,0,1,1,0,0,44
64,445,0,0,0,1,0,0,2219
78,506,0,0,0,1,0,1,2155
91,524,0,0,0,1,0,1,2140
79,449,0,0,0,1,0,1,2216
80,553,0,0,1,0,0,0,2213
75,416,0,1,1,0,0,1,2332
58,446,0,0,1,1,0,1,2258
86,587,0,0,1,0,0,0,2120
73,415,0,0,1,1,0,1,2300
94,540,0,0,1,1,0,1,2259
92,481,0,0,1,1,0,1,2224
80,461,0,0,1,1,0,1,2243
100,525,0,0,1,1,0,1,2308
90,455,0,0,1,0,0,1,2200
67,406,0,0,1,0,0,1,2301
65,399,0,0,1,0,0,1,2251
84,455,0,1,1,0,0,1,2239
82,450,0,0,1,0,0,1,2225
78,453,7200,0,1,0,1,1,2242
52,491,3786,0,1,1,0,0,2208
48,513,5631,0,1,0,0,0,2352
63,454,10266,0,1,1,0,1,2253
67,455,10540,1,1,0,0,1,2234
64,455,8164,0,1,0,0,1,2213
67,499,7271,0,1,1,0,1,2214
69,466,6366,0,0,1,0,1,2248
63,452,7967,0,1,1,0,1,2303
68,457,4542,1,0,1,0,1,2219
78,434,0,0,0,1,0,0,23
74,455,0,0,0,1,0,1,2124
87,462,0,0,1,1,0,1,2234
89,497,0,0,1,1,0,0,2230
82,420,0,0,0,0,0,0,2150
75,502,0,0,1,1,0,0,2307
76,442,0,0,1,1,0,1,2200
77,460,0,0,1,1,0,0,2237
70,427,0,0,1,1,1,0,2151
77,441,0,0,0,1,0,1,2135
61,303,0,1,1,1,0,1,158
66,408,0,0,1,1,0,1,2211
69,416,0,0,1,1,0,1,2218
80,482,0,0,1,1,0,1,2142
93,470,0,0,1,0,0,1,2229
87,559,0,0,1,0,0,0,2055
71,434,0,1,1,0,0,1,2146
76,457,0,1,1,1,0,0,2143
77,453,0,0,1,0,0,0,2336
59,480,0,0,1,0,0,0,2220
87,484,0,0,1,0,0,0,2254
91,527,0,0,1,0,0,0,2201
69,409,0,0,1,1,0,1,2234
69,437,0,0,1,0,0,1,9
74,481,0,0,1,1,1,1,2159
88,569,0,0,1,0,0,0,2014
68,460,0,0,0,1,0,1,2240
77,415,0,0,1,1,0,0,2309
61,463,0,0,1,1,0,1,2147
84,452,0,0,1,1,0,1,2217
78,481,0,0,1,0,0,1,2134
95,497,0,0,1,1,0,0,2313
59,452,0,1,1,1,0,1,2350
75,443,0,0,1,1,0,1,2246
65,466,0,0,1,0,0,1,2220
93,474,0,0,1,1,0,1,19
69,439,0,0,1,1,0,1,2157
69,412,0,0,1,1,0,0,2328
10,46,0,0,0,0,0,0,458
80,443,0,0,1,1,1,1,2207
68,423,0,0,1,1,0,1,2201
72,538,0,0,1,1,0,1,2111
64,535,0,0,1,1,0,1,2123
69,443,0,0,1,0,0,0,2236
86,440,0,0,1,1,0,0,2210
