Sleep quality,Time in bed,Wake up,Heart rate,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
89,530,0,65,0,0,1,1,0,0,2238
100,512,1,59,0,0,0,0,0,0,2257
87,442,1,60,0,0,0,1,0,0,2132
93,483,1,62,0,1,1,1,0,0,13
74,424,1,60,0,0,1,0,0,0,2216
70,405,1,55,0,0,1,1,0,0,2220
72,420,1,55,0,0,1,1,0,1,31
54,559,1,68,0,1,1,1,0,1,2053
99,530,1,67,0,0,1,1,0,0,2128
77,460,1,63,0,0,1,1,0,0,2139
92,483,1,54,0,0,0,1,0,1,2123
50,454,1,59,0,0,1,1,1,1,2147
67,467,1,61,0,0,1,1,0,0,2258
75,459,1,58,0,0,1,0,0,0,2201
71,394,1,61,0,0,1,1,0,1,2306
93,506,0,60,0,0,0,0,0,0,2119
84,447,1,61,0,0,1,1,0,0,2245
89,445,1,58,0,0,1,1,1,1,2254
80,464,1,70,0,0,1,1,0,1,2146
81,460,0,57,0,0,0,1,0,1,2230
74,455,0,64,0,0,0,1,0,1,2124
87,462,1,75,0,0,1,1,0,1,2234
89,497,1,61,0,0,1,1,0,0,2230
82,420,1,62,0,0,0,0,0,0,2150
75,502,1,65,0,0,1,1,0,0,2307
77,460,1,58,0,0,1,1,0,0,2237
70,427,1,64,0,0,1,1,1,0,2151
77,441,1,59,0,0,0,1,0,1,2135
61,303,1,75,0,1,1,1,0,1,158
66,408,1,50,0,0,1,1,0,1,2211
80,482,0,60,0,0,1,1,0,1,2142
93,470,1,58,0,0,1,0,0,1,2229
87,559,1,58,0,0,1,0,0,0,2055
76,457,1,57,0,1,1,1,0,0,2143
77,453,1,57,0,0,1,0,0,0,2336
59,480,1,60,0,0,1,0,0,0,2220
69,409,1,53,0,0,1,1,0,1,2234
69,437,1,57,0,0,1,0,0,1,9
88,569,1,62,0,0,1,0,0,0,2014
68,460,1,65,0,0,0,1,0,1,2240
77,415,1,65,0,0,1,1,0,0,2309
61,463,1,62,0,0,1,1,0,1,2147
