,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
0,2014-12-29 22:57:00,2014-12-30 07:30:00,1.0,499.20000000000005,0,0,0,0,0,0
1,2014-12-30 21:17:00,2014-12-30 21:33:00,0.03,9.6,0,1,0,0,0,0
2,2014-12-30 22:42:00,2014-12-31 07:13:00,0.98,498.00000000000006,0,0,0,0,0,0
3,2014-12-31 22:31:00,2015-01-01 06:03:00,0.65,439.20000000000005,0,0,0,0,0,0
4,2015-01-01 22:12:00,2015-01-02 04:56:00,0.72,386.40000000000003,0,0,1,1,0,0
5,2015-01-03 00:34:00,2015-01-03 07:47:00,0.83,427.2,0,0,1,1,0,0
6,2015-01-04 00:23:00,2015-01-04 07:37:00,0.78,428.4,0,0,0,1,0,0
7,2015-01-04 21:34:00,2015-01-05 04:53:00,0.78,430.79999999999995,0,0,1,0,1,0
8,2015-01-05 21:32:00,2015-01-06 05:00:00,0.69,436.2,0,0,1,1,0,1
9,2015-01-06 21:24:00,2015-01-07 05:00:00,0.74,441.0,0,0,0,1,0,1
10,2015-01-07 20:59:00,2015-01-08 06:19:00,0.81,551.4,0,1,1,1,0,0
11,2015-01-08 22:58:00,2015-01-09 06:14:00,0.88,429.6,0,0,1,1,0,0
12,2015-01-09 22:27:00,2015-01-10 07:29:00,0.77,540.6,0,0,1,1,0,0
13,2015-01-10 22:38:00,2015-01-11 07:28:00,0.89,510.0,0,0,1,1,0,0
14,2015-01-11 22:12:00,2015-01-12 06:20:00,0.78,484.8,0,0,0,1,0,0
15,2015-01-12 21:01:00,2015-01-13 06:13:00,1.0,546.5999999999999,0,0,0,1,0,1
16,2015-01-13 22:14:00,2015-01-14 06:20:00,1.0,483.6,0,0,1,1,0,0
17,2015-01-14 21:48:00,2015-01-15 05:02:00,0.88,427.8,0,0,1,1,0,1
18,2015-01-15 21:32:00,2015-01-16 04:54:00,0.87,433.2,0,0,0,1,0,0
19,2015-01-17 02:11:00,2015-01-17 09:03:00,0.83,390.59999999999997,0,0,1,1,0,0
20,2015-01-17 23:55:00,2015-01-18 07:47:00,0.93,450.59999999999997,0,0,1,1,0,0
21,2015-01-18 21:51:00,2015-01-19 05:04:00,0.58,427.2,0,0,1,0,0,0
22,2015-01-19 05:06:00,2015-01-19 06:20:00,0.16,67.8,0,0,0,0,0,0
